gtin,honest_sign_name
04670332742266,HALF-ZIP HOODIE BLACK(L)
04670332742273,HALF-ZIP HOODIE BLACK(M)
04670332742280,HALF-ZIP HOODIE BLACK(S)
04670332742297,HALF-ZIP HOODIE BLACK(XL)
04670332742303,HALF-ZIP HOODIE GREEN(L)
04670332742310,HALF-ZIP HOODIE GREEN(M)
04670332742327,HALF-ZIP HOODIE GREEN(S)
04670332742334,HALF-ZIP HOODIE GREEN(XL)
04670332740545,HMLS SHORTS DOLLAR GREEN(L (Рост 170-180))
04670332740552,HMLS SHORTS DOLLAR GREEN(M (Рост 160-170))
04670332740569,HMLS SHORTS DOLLAR GREEN(S (Рост 150-160))
04670332740576,HMLS SHORTS DOLLAR GREEN(XL (Рост 180-190))
04670332740743,HMLS SHORTS GREY(L (Рост 170-180))
04670332740750,HMLS SHORTS GREY(M (Рост 160-170))
04670332740767,HMLS SHORTS GREY(S (Рост 150-160))
04670332740774,HMLS SHORTS GREY(XL (Рост 180-190))
04670332740989,HOMMELESS SHORTS(L (Рост 175-182см))
04670332740996,HOMMELESS SHORTS(M (Рост 170-175см))
04670332741009,HOMMELESS SHORTS(S (Рост 160-170см))
04670332741016,HOMMELESS SHORTS(XL (Рост 180-184см))
04670332741061,SHORTS WHITE(L (180-185))
04670332741078,SHORTS WHITE(M (170-180))
04670332741085,SHORTS WHITE(S (160-170))
04670332741092,SHORTS WHITE(XL (185+))
04670332741863,SIGNATURE HALF-ZIP BEIGE(L)
04670332741870,SIGNATURE HALF-ZIP BEIGE(M)
04670332741887,SIGNATURE HALF-ZIP BEIGE(S)
04670332741894,SIGNATURE HALF-ZIP BEIGE(XL)
04670332741986,SIGNATURE HALF-ZIP BLACK(L)
04670332741993,SIGNATURE HALF-ZIP BLACK(M)
04670332742006,SIGNATURE HALF-ZIP BLACK(S)
04670332742013,SIGNATURE HALF-ZIP BLACK(XL)
04670332742068,SIGNATURE HALF-ZIP GREEN(L)
04670332742075,SIGNATURE HALF-ZIP GREEN(M)
04670332742082,SIGNATURE HALF-ZIP GREEN(S)
04670332742099,SIGNATURE HALF-ZIP GREEN(XL)
